ID;NOTA1;NOTA2;NOTA3;NOTA4;MEDIA;SITUACAO;CONCEITO
356;2;6;0;2;2;RE;INS
357;3;7;2;1;3;RE;INS
358;8;3;0;10;5;AP;REG
359;9;4;0;7;5;AP;REG
360;10;5;10;5;7;AP;BOM
361;3;4;9;7;5;AP;REG
362;3;4;0;8;3;RE;INS
363;4;1;9;3;4;RE;INS
364;6;2;5;0;3;RE;INS
365;6;6;0;2;3;RE;INS
366;8;5;7;9;7;AP;BOM
367;4;1;0;3;2;RE;INS
368;4;1;7;1;3;RE;INS
369;4;7;3;4;4;RE;INS
370;0;7;2;9;4;RE;INS
371;1;4;5;6;4;RE;INS
372;6;1;2;7;4;RE;INS
373;9;10;2;2;5;AP;REG
374;7;9;8;1;6;AP;REG
375;4;0;0;6;2;RE;INS
376;10;1;3;3;4;RE;INS
377;8;5;9;9;7;AP;BOM
378;2;6;4;3;3;RE;INS
379;10;10;8;3;7;AP;BOM
380;8;5;6;4;5;AP;REG
381;2;5;5;7;4;RE;INS
382;2;6;10;7;6;AP;REG
383;10;0;1;6;4;RE;INS
384;9;1;1;8;4;RE;INS
385;1;5;0;3;2;RE;INS
386;0;6;5;7;4;RE;INS
387;3;0;4;4;2;RE;INS
388;7;1;1;7;4;RE;INS
389;5;5;0;9;4;RE;INS
390;3;4;6;2;3;RE;INS
391;6;2;5;6;4;RE;INS
392;3;6;5;3;4;RE;INS
393;6;4;9;4;5;AP;REG
394;7;8;1;8;6;AP;REG
395;6;0;4;0;2;RE;INS
396;1;0;6;2;2;RE;INS
397;10;5;9;2;6;AP;REG
398;0;10;10;1;5;AP;REG
399;1;5;2;2;2;RE;INS
400;3;0;0;6;2;RE;INS
401;6;8;3;8;6;AP;REG
402;6;1;8;8;5;AP;REG
403;1;8;0;0;2;RE;INS
404;7;10;3;2;5;AP;REG
405;10;3;6;8;6;AP;REG
406;1;8;8;1;4;RE;INS
407;4;8;8;4;6;AP;REG
408;4;10;0;8;5;AP;REG
409;0;4;8;9;5;AP;REG
410;8;8;10;3;7;AP;BOM
411;9;1;5;2;4;RE;INS
412;10;3;7;7;6;AP;REG
413;8;1;3;6;4;RE;INS
414;5;10;4;7;6;AP;REG
415;1;2;0;9;3;RE;INS
416;3;2;5;6;4;RE;INS
417;8;4;0;6;4;RE;INS
418;10;10;2;10;8;AP;BOM
419;0;0;2;4;1;RE;INS
420;2;2;2;7;3;RE;INS
421;5;5;2;8;5;AP;REG
422;7;3;6;10;6;AP;REG
423;0;7;2;1;2;RE;INS
424;6;0;8;10;6;AP;REG
425;4;8;0;9;5;AP;REG
426;1;10;9;1;5;AP;REG
427;9;2;7;1;4;RE;INS
428;3;0;9;8;5;AP;REG
429;6;7;4;6;5;AP;REG
430;7;3;3;7;5;AP;REG
431;6;7;4;3;5;AP;REG
432;6;10;1;2;4;RE;INS
433;3;0;7;2;3;RE;INS
434;0;4;8;7;4;RE;INS
435;4;2;4;7;4;RE;INS
436;6;3;4;5;4;RE;INS
437;1;9;0;10;5;AP;REG
438;6;1;9;8;6;AP;REG
439;0;10;6;4;5;AP;REG
440;10;8;9;6;8;AP;BOM
441;5;3;7;6;5;AP;REG
442;10;7;4;3;6;AP;REG
443;0;10;0;6;4;RE;INS
444;2;7;1;7;4;RE;INS
445;3;4;3;0;2;RE;INS
446;10;8;9;6;8;AP;BOM
447;8;3;1;10;5;AP;REG
448;7;8;2;4;5;AP;REG
449;8;3;0;5;4;RE;INS
450;9;6;2;7;6;AP;REG
451;9;7;0;0;4;RE;INS
452;5;8;0;4;4;RE;INS
453;8;10;5;3;6;AP;REG
454;6;9;0;7;5;AP;REG
455;8;8;8;5;7;AP;BOM
456;6;5;1;8;5;AP;REG
457;4;1;8;4;4;RE;INS
458;8;0;9;4;5;AP;REG
459;1;2;0;2;1;RE;INS
460;8;0;7;7;5;AP;REG
461;2;8;0;9;4;RE;INS
462;2;6;10;6;6;AP;REG
463;9;2;4;7;5;AP;REG
464;8;3;3;0;3;RE;INS
465;10;6;2;1;4;RE;INS
466;9;8;2;5;6;AP;REG
467;7;6;4;8;6;AP;REG
468;9;10;5;6;7;AP;BOM
469;8;5;2;0;3;RE;INS
470;6;2;10;5;5;AP;REG
471;0;0;2;7;2;RE;INS
472;3;6;5;2;4;RE;INS
473;7;0;1;1;2;RE;INS
474;2;5;6;7;5;AP;REG
475;4;2;0;9;3;RE;INS
476;3;9;4;5;5;AP;REG
477;6;0;10;9;6;AP;REG
478;6;8;2;4;5;AP;REG
479;0;5;3;6;3;RE;INS
480;10;9;2;2;5;AP;REG
481;3;4;0;10;4;RE;INS
482;1;1;4;6;3;RE;INS
483;8;7;8;8;7;AP;BOM
484;0;9;1;9;4;RE;INS
485;1;3;3;5;3;RE;INS
486;0;5;8;2;3;RE;INS
487;8;2;5;3;4;RE;INS
488;9;2;1;6;4;RE;INS
489;9;8;1;6;6;AP;REG
490;2;1;7;5;3;RE;INS
491;5;0;5;6;4;RE;INS
492;1;0;1;10;3;RE;INS
493;6;3;10;0;4;RE;INS
494;5;4;6;0;3;RE;INS
495;0;5;6;6;4;RE;INS
496;1;3;5;3;3;RE;INS
497;3;7;6;7;5;AP;REG
498;10;1;8;8;6;AP;REG
499;4;10;6;10;7;AP;BOM
500;8;1;2;3;3;RE;INS
501;10;10;10;5;8;AP;BOM
502;3;7;4;4;4;RE;INS
503;7;0;8;5;5;AP;REG
504;1;7;1;5;3;RE;INS
505;2;6;1;0;2;RE;INS
506;1;7;4;10;5;AP;REG
507;3;1;3;1;2;RE;INS
508;3;10;2;2;4;RE;INS
509;10;5;9;0;6;AP;REG
510;3;7;7;9;6;AP;REG
511;9;7;4;1;5;AP;REG
512;7;10;1;8;6;AP;REG
513;2;8;5;10;6;AP;REG
514;6;3;2;7;4;RE;INS
515;1;7;2;7;4;RE;INS
516;5;4;2;1;3;RE;INS
517;7;1;4;1;3;RE;INS
518;0;10;4;1;3;RE;INS
519;8;4;4;10;6;AP;REG
520;5;8;1;0;3;RE;INS
521;2;3;10;9;6;AP;REG
522;10;3;2;3;4;RE;INS
523;8;6;8;1;5;AP;REG
524;4;10;10;0;6;AP;REG
525;5;2;10;7;6;AP;REG
526;3;7;8;9;6;AP;REG
527;4;7;1;7;4;RE;INS
528;0;3;7;3;3;RE;INS
529;1;8;2;3;3;RE;INS
530;9;3;6;2;5;AP;REG
531;8;4;9;2;5;AP;REG
532;10;9;2;10;7;AP;BOM
533;4;9;6;3;5;AP;REG
534;9;10;7;4;7;AP;BOM
535;6;9;9;4;7;AP;BOM
536;6;6;1;7;5;AP;REG
537;3;8;6;3;5;AP;REG
538;7;0;1;7;3;RE;INS
539;1;6;10;5;5;AP;REG
540;8;1;5;8;5;AP;REG
541;7;9;5;7;7;AP;BOM
542;7;9;4;0;5;AP;REG
543;5;1;5;5;4;RE;INS
544;2;7;0;4;3;RE;INS
545;1;4;7;1;3;RE;INS
546;1;8;10;1;5;AP;REG
547;4;3;5;5;4;RE;INS
548;10;2;3;4;4;RE;INS
549;1;6;8;5;5;AP;REG
550;1;5;2;9;4;RE;INS
551;10;1;9;8;7;AP;BOM
552;4;0;5;6;3;RE;INS
553;9;9;10;10;9;AP;EXC
554;7;0;0;8;3;RE;INS
555;1;7;3;9;5;AP;REG
556;5;4;1;0;2;RE;INS
557;2;3;5;6;4;RE;INS
558;7;5;8;4;6;AP;REG
559;2;0;5;10;4;RE;INS
560;8;7;2;1;4;RE;INS
561;0;2;8;4;3;RE;INS
562;9;3;10;8;7;AP;BOM
563;3;7;6;2;4;RE;INS
564;4;7;10;5;6;AP;REG
565;3;10;4;7;6;AP;REG
566;10;1;0;7;4;RE;INS
567;2;3;8;0;3;RE;INS
568;1;10;4;2;4;RE;INS
569;9;1;7;3;5;AP;REG
570;2;0;3;7;3;RE;INS
571;8;2;7;4;5;AP;REG
572;4;4;10;1;4;RE;INS
573;10;0;7;4;5;AP;REG
574;10;5;2;7;6;AP;REG
575;5;3;8;7;5;AP;REG
576;0;4;5;2;2;RE;INS
577;5;5;8;10;7;AP;BOM
578;6;1;2;7;4;RE;INS
579;2;6;7;7;5;AP;REG
580;2;6;4;9;5;AP;REG
581;3;5;9;8;6;AP;REG
582;3;0;7;9;4;RE;INS
583;10;10;0;7;6;AP;REG
584;4;6;7;2;4;RE;INS
585;6;2;3;4;3;RE;INS
586;0;0;10;4;3;RE;INS
587;6;3;6;2;4;RE;INS
588;4;6;0;3;3;RE;INS
589;4;9;2;2;4;RE;INS
590;5;3;10;7;6;AP;REG
591;0;0;9;8;4;RE;INS
592;9;4;6;1;5;AP;REG
593;6;2;5;6;4;RE;INS
594;8;7;2;7;6;AP;REG
595;6;9;8;2;6;AP;REG
596;0;1;4;4;2;RE;INS
597;0;6;8;0;3;RE;INS
598;3;10;3;8;6;AP;REG
599;1;6;7;9;5;AP;REG
600;7;7;7;8;7;AP;BOM
601;5;8;5;7;6;AP;REG
602;5;9;3;1;4;RE;INS
603;7;5;8;1;5;AP;REG
604;10;8;10;4;8;AP;BOM
605;6;5;4;8;5;AP;REG
606;0;9;2;8;4;RE;INS
607;10;10;3;6;7;AP;BOM
608;7;1;10;7;6;AP;REG
609;3;1;0;0;1;RE;INS
610;3;6;8;0;4;RE;INS
611;8;10;0;10;7;AP;BOM
612;5;7;6;1;4;RE;INS
613;6;2;1;4;3;RE;INS
614;10;5;7;1;5;AP;REG
615;10;0;10;9;7;AP;BOM
616;6;2;1;2;2;RE;INS
617;8;9;4;1;5;AP;REG
618;6;3;0;9;4;RE;INS
619;1;2;1;5;2;RE;INS
620;3;8;3;4;4;RE;INS
621;6;8;3;7;6;AP;REG
622;2;8;4;10;6;AP;REG
623;5;0;8;2;3;RE;INS
624;8;10;6;10;8;AP;BOM
625;0;8;3;1;3;RE;INS
626;7;10;6;10;8;AP;BOM
627;10;5;5;9;7;AP;BOM
628;7;5;1;4;4;RE;INS
629;0;4;6;2;3;RE;INS
630;7;7;1;5;5;AP;REG
631;3;9;1;1;3;RE;INS
632;6;0;6;8;5;AP;REG
633;10;3;4;5;5;AP;REG
634;10;0;10;5;6;AP;REG
635;1;10;6;2;4;RE;INS
636;6;3;4;9;5;AP;REG
637;8;4;8;10;7;AP;BOM
638;5;7;8;4;6;AP;REG
639;2;4;10;10;6;AP;REG
640;1;6;0;10;4;RE;INS
641;6;8;9;3;6;AP;REG
642;5;9;4;1;4;RE;INS
643;4;6;1;8;4;RE;INS
644;1;3;6;9;4;RE;INS
645;3;9;1;1;3;RE;INS
646;9;9;8;3;7;AP;BOM
647;9;0;2;3;3;RE;INS
648;9;7;2;2;5;AP;REG
649;8;0;4;1;3;RE;INS
650;1;1;2;5;2;RE;INS
651;6;2;0;10;4;RE;INS
652;6;0;4;5;3;RE;INS
653;10;10;4;6;7;AP;BOM
654;3;4;1;1;2;RE;INS
655;9;2;6;5;5;AP;REG
656;4;2;4;7;4;RE;INS
657;0;2;2;10;3;RE;INS
658;5;7;9;3;6;AP;REG
659;10;5;4;6;6;AP;REG
660;4;3;5;8;5;AP;REG
661;1;7;3;9;5;AP;REG
662;4;6;2;5;4;RE;INS
663;5;0;4;6;3;RE;INS
664;0;6;7;10;5;AP;REG
665;6;9;6;8;7;AP;BOM
666;9;1;0;0;2;RE;INS
667;4;4;6;8;5;AP;REG
668;9;6;8;2;6;AP;REG
669;3;0;9;10;5;AP;REG
670;1;1;8;5;3;RE;INS
671;0;1;5;6;3;RE;INS
672;8;10;4;9;7;AP;BOM
673;0;3;3;9;3;RE;INS
674;8;9;2;1;5;AP;REG
675;5;8;10;1;6;AP;REG
676;4;1;7;7;4;RE;INS
677;10;10;9;8;9;AP;EXC
678;1;9;8;5;5;AP;REG
679;3;4;6;2;3;RE;INS
680;3;5;3;7;4;RE;INS
681;9;10;1;4;6;AP;REG
682;9;2;0;3;3;RE;INS
683;1;5;6;7;4;RE;INS
684;4;6;10;1;5;AP;REG
685;8;7;9;0;6;AP;REG
686;10;10;4;6;7;AP;BOM
687;6;5;2;9;5;AP;REG
688;9;7;1;10;6;AP;REG
689;8;7;10;2;6;AP;REG
690;6;2;8;0;4;RE;INS
691;0;8;4;0;3;RE;INS
692;10;8;0;0;4;RE;INS
693;1;5;9;2;4;RE;INS
694;10;2;6;8;6;AP;REG
695;7;2;5;3;4;RE;INS
696;9;10;2;7;7;AP;BOM
697;6;0;5;10;5;AP;REG
698;7;3;0;6;4;RE;INS
699;1;9;5;6;5;AP;REG
700;8;8;5;10;7;AP;BOM
701;0;3;9;0;3;RE;INS
702;8;9;10;8;8;AP;BOM
703;9;10;3;2;6;AP;REG
704;6;2;10;0;4;RE;INS
705;2;6;8;9;6;AP;REG
706;7;5;7;0;4;RE;INS
707;7;7;8;3;6;AP;REG
708;4;10;9;0;5;AP;REG
709;2;9;7;0;4;RE;INS
710;7;5;6;9;6;AP;REG
711;7;8;9;10;8;AP;BOM
712;6;2;4;10;5;AP;REG
713;2;8;5;2;4;RE;INS
714;8;10;2;7;6;AP;REG
715;1;0;1;10;3;RE;INS
716;6;2;3;1;3;RE;INS
717;6;1;8;3;4;RE;INS
718;8;0;10;3;5;AP;REG
719;9;2;0;8;4;RE;INS
720;3;4;5;0;3;RE;INS
721;9;7;0;6;5;AP;REG
722;3;6;7;5;5;AP;REG
723;5;8;5;8;6;AP;REG
724;1;0;5;4;2;RE;INS
725;1;5;2;8;4;RE;INS
726;1;6;7;10;6;AP;REG
727;6;10;4;0;5;AP;REG
728;10;6;0;9;6;AP;REG
729;3;6;2;4;3;RE;INS
730;3;1;9;0;3;RE;INS
731;7;1;0;8;4;RE;INS
732;0;6;10;5;5;AP;REG
733;2;9;4;9;6;AP;REG
734;0;0;3;0;0;RE;INS
735;0;3;5;9;4;RE;INS
736;10;6;8;4;7;AP;BOM
737;5;6;5;7;5;AP;REG
738;10;6;10;2;7;AP;BOM
739;2;0;8;3;3;RE;INS
740;0;2;5;10;4;RE;INS
741;9;9;6;0;6;AP;REG
742;5;3;1;6;3;RE;INS
743;6;1;7;2;4;RE;INS
744;8;0;2;9;4;RE;INS
745;10;1;9;9;7;AP;BOM
746;8;3;8;2;5;AP;REG
747;2;3;6;6;4;RE;INS
748;6;6;6;2;5;AP;REG
749;9;5;7;10;7;AP;BOM
750;1;5;7;2;3;RE;INS
751;4;10;2;10;6;AP;REG
752;10;1;1;7;4;RE;INS
753;10;1;5;6;5;AP;REG
754;8;4;7;9;7;AP;BOM
755;9;6;3;1;4;RE;INS
756;9;6;1;5;5;AP;REG
757;3;2;0;2;1;RE;INS
758;2;1;10;1;3;RE;INS
759;9;3;8;5;6;AP;REG
760;2;0;7;10;4;RE;INS
761;4;10;3;5;5;AP;REG
762;9;6;0;10;6;AP;REG
763;5;8;2;2;4;RE;INS
764;1;9;10;6;6;AP;REG
765;5;0;7;0;3;RE;INS
